ZipCode,EstimatedCombinedRate,TaxRegionName
00955,0.115,"SAN JUAN CO, PR"
00956,0.115,"BAYAMON CO, PR"
00957,0.115,"BAYAMON CO, PR"
00958,0.115,"BAYAMON CO, PR"
00959,0.115,"BAYAMON CO, PR"
00960,0.115,"BAYAMON CO, PR"
00961,0.115,"BAYAMON CO, PR"
00962,0.115,"CATANO CO, PR"
00963,0.115,"CATANO CO, PR"
00965,0.115,"GUAYNABO CO, PR"
00966,0.115,"BAYAMON CO, PR"
00968,0.115,"GUAYNABO CO, PR"
00969,0.115,"BAYAMON CO, PR"
00970,0.115,"GUAYNABO CO, PR"
00971,0.115,"GUAYNABO CO, PR"
00975,0.115,"SAN JUAN CO, PR"
00976,0.115,"BAYAMON CO, PR"
00977,0.115,"TRUJILLO ALTO CO, PR"
00978,0.115,"TRUJILLO ALTO CO, PR"
00979,0.115,"CAROLINA CO, PR"
00981,0.115,"CAROLINA CO, PR"
00982,0.115,"CAROLINA CO, PR"
00983,0.115,"CAROLINA CO, PR"
00984,0.115,"CAROLINA CO, PR"
00985,0.115,"CAROLINA CO, PR"
00986,0.115,"CAROLINA CO, PR"
00987,0.115,"CAROLINA CO, PR"
00988,0.115,"CAROLINA CO, PR"
01001,0.0625,"AGAWAM, MA"
01002,0.0625,"LEVERETT, MA"
01003,0.0625,"AMHERST, MA"
01004,0.0625,"AMHERST, MA"
01005,0.0625,"BARRE, MA"
01007,0.0625,"BELCHERTOWN, MA"
01008,0.0625,"BLANDFORD, MA"
01009,0.0625,"PALMER, MA"
01010,0.0625,"HOLLAND, MA"
01011,0.0625,"BLANDFORD, MA"
01012,0.0625,"CHESTERFIELD, MA"
01013,0.0625,"CHICOPEE, MA"
01014,0.0625,"CHICOPEE, MA"
01020,0.0625,"CHICOPEE, MA"
01021,0.0625,"CHICOPEE, MA"
01022,0.0625,"CHICOPEE, MA"
01026,0.0625,"CHESTERFIELD, MA"
01027,0.0625,"EASTHAMPTON, MA"
01028,0.0625,"SPRINGFIELD, MA"
01029,0.0625,"OTIS, MA"
01030,0.0625,"AGAWAM, MA"
01031,0.0625,"HARDWICK, MA"
01032,0.0625,"GOSHEN, MA"
01033,0.0625,"GRANBY, MA"
01034,0.0625,"BLANDFORD, MA"
01035,0.0625,"HADLEY, MA"
01036,0.0625,"MASSACHUSETTS, MA"
01037,0.0625,"HARDWICK, MA"
01038,0.0625,"HATFIELD, MA"
01039,0.0625,"WILLIAMSBURG, MA"
01040,0.0625,"WEST SPRINGFIELD, MA"
01041,0.0625,"HOLYOKE, MA"
01050,0.0625,"CHESTER, MA"
01053,0.0625,"NORTHAMPTON, MA"
01054,0.0625,"LEVERETT, MA"
01056,0.0625,"LUDLOW, MA"
01057,0.0625,"MASSACHUSETTS, MA"
01059,0.0625,"AMHERST, MA"
01060,0.0625,"NORTHAMPTON, MA"
01061,0.0625,"NORTHAMPTON, MA"
01062,0.0625,"NORTHAMPTON, MA"
01063,0.0625,"NORTHAMPTON, MA"
01066,0.0625,"HATFIELD, MA"
01068,0.0625,"BARRE, MA"
01069,0.0625,"MONSON, MA"
01070,0.0625,"ASHFIELD, MA"
01071,0.0625,"BLANDFORD, MA"
01072,0.0625,"SHUTESBURY, MA"
01073,0.0625,"EASTHAMPTON, MA"
01074,0.0625,"BARRE, MA"
01075,0.0625,"CHICOPEE, MA"
01077,0.0625,"SOUTHWICK, MA"
01079,0.0625,"PALMER, MA"
01080,0.0625,"PALMER, MA"
01081,0.0625,"HOLLAND, MA"
01082,0.0625,"HARDWICK, MA"
01083,0.0625,"WARREN, MA"
01084,0.0625,"CHESTERFIELD, MA"
01085,0.0625,"MONTGOMERY, MA"
01086,0.0625,"WESTFIELD, MA"
01088,0.0625,"HATFIELD, MA"
01089,0.0625,"SPRINGFIELD, MA"
01090,0.0625,"SPRINGFIELD, MA"
01092,0.0625,"WARREN, MA"
01093,0.0625,"WHATELY, MA"
01094,0.0625,"HARDWICK, MA"
01095,0.0625,"MASSACHUSETTS, MA"
01096,0.0625,"ASHFIELD, MA"
01097,0.0625,"RUSSELL, MA"
01098,0.0625,"CHESTERFIELD, MA"
01101,0.0625,"SPRINGFIELD, MA"
01102,0.0625,"SPRINGFIELD, MA"
01103,0.0625,"CHICOPEE, MA"
01104,0.0625,"CHICOPEE, MA"
01105,0.0625,"SPRINGFIELD, MA"
01106,0.0625,"SPRINGFIELD, MA"
01107,0.0625,"CHICOPEE, MA"
01108,0.0625,"SPRINGFIELD, MA"
01109,0.0625,"SPRINGFIELD, MA"
01111,0.0625,"SPRINGFIELD, MA"
01115,0.0625,"SPRINGFIELD, MA"
01116,0.0625,"LONGMEADOW, MA"
01118,0.0625,"SPRINGFIELD, MA"
01119,0.0625,"SPRINGFIELD, MA"
01128,0.0625,"SPRINGFIELD, MA"
01129,0.0625,"SPRINGFIELD, MA"
01138,0.0625,"SPRINGFIELD, MA"
01139,0.0625,"SPRINGFIELD, MA"
01144,0.0625,"SPRINGFIELD, MA"
01151,0.0625,"SPRINGFIELD, MA"
01152,0.0625,"SPRINGFIELD, MA"
01199,0.0625,"SPRINGFIELD, MA"
01201,0.0625,"DALTON, MA"
01202,0.0625,"PITTSFIELD, MA"
01203,0.0625,"PITTSFIELD, MA"
01220,0.0625,"ADAMS, MA"
01222,0.0625,"SHEFFIELD, MA"
01223,0.0625,"BECKET, MA"
01224,0.0625,"CHESHIRE, MA"
01225,0.0625,"CHESHIRE, MA"
01226,0.0625,"HINSDALE, MA"
01227,0.0625,"DALTON, MA"
01229,0.0625,"STOCKBRIDGE, MA"
01230,0.0625,"ALFORD, MA"
01235,0.0625,"HINSDALE, MA"
01236,0.0625,"GREAT BARRINGTON, MA"
01237,0.0625,"HANCOCK, MA"
01238,0.0625,"BECKET, MA"
01240,0.0625,"LEE, MA"
01242,0.0625,"LEE, MA"
01243,0.0625,"MIDDLEFIELD, MA"
01244,0.0625,"NEW MARLBOROUGH, MA"
01245,0.0625,"MONTEREY, MA"
01247,0.0625,"CLARKSBURG, MA"
01252,0.0625,"EGREMONT, MA"
01253,0.0625,"OTIS, MA"
01254,0.0625,"LENOX, MA"
01255,0.0625,"SANDISFIELD, MA"
01256,0.0625,"SAVOY, MA"
01257,0.0625,"NEW MARLBOROUGH, MA"
01258,0.0625,"EGREMONT, MA"
01259,0.0625,"NEW MARLBOROUGH, MA"
01260,0.0625,"LEE, MA"
01262,0.0625,"GREAT BARRINGTON, MA"
01263,0.0625,"STOCKBRIDGE, MA"
01264,0.0625,"TYRINGHAM, MA"
01266,0.0625,"ALFORD, MA"
01267,0.0625,"HANCOCK, MA"
01270,0.0625,"WINDSOR, MA"
01301,0.0625,"LEYDEN, MA"
01302,0.0625,"GREENFIELD, MA"
01330,0.0625,"ASHFIELD, MA"
01331,0.0625,"WORCESTER, MA"
01337,0.0625,"LEYDEN, MA"
01338,0.0625,"BUCKLAND, MA"
01339,0.0625,"BUCKLAND, MA"
01340,0.0625,"COLRAIN, MA"
01341,0.0625,"CONWAY, MA"
01342,0.0625,"DEERFIELD, MA"
01343,0.0625,"FLORIDA, MA"
01344,0.0625,"ERVING, MA"
01346,0.0625,"HEATH, MA"
01347,0.0625,"MONTAGUE, MA"
01349,0.0625,"MONTAGUE, MA"
01350,0.0625,"MONROE, MA"
01351,0.0625,"LEVERETT, MA"
01354,0.0625,"GILL, MA"
01355,0.0625,"NEW SALEM, MA"
01360,0.0625,"ERVING, MA"
01364,0.0625,"ATHOL, MA"
01366,0.0625,"ATHOL, MA"
01367,0.0625,"FLORIDA, MA"
01368,0.0625,"ATHOL, MA"
